Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Avg_Utilization_Ratio
0,33,M,1,College,Married,$40K - $60K,Blue,14,3,6746.0,0.259
0,53,F,1,Graduate,Single,Less than $40K,Blue,43,6,2172.0,0.297
1,52,F,0,Doctorate,Single,Less than $40K,Blue,36,2,1438.3,0.68
1,45,M,5,College,Single,$40K - $60K,Blue,36,4,4982.0,0.0
0,48,M,4,Post-Graduate,Married,$40K - $60K,Blue,29,6,2916.0,0.368
0,51,F,3,Graduate,Married,$40K - $60K,Blue,36,3,1565.0,0.603
0,42,M,4,College,Single,$40K - $60K,Blue,36,3,2502.0,0.595
0,40,M,3,Graduate,Divorced,$120K +,Blue,30,3,34516.0,0.0
0,42,M,3,High School,Married,$80K - $120K,Blue,36,3,24126.0,0.039
0,52,M,3,Graduate,Married,$120K +,Blue,47,5,11086.0,0.199
0,46,M,1,Graduate,Divorced,$40K - $60K,Blue,37,1,11343.0,0.104
0,49,M,4,Graduate,Married,$80K - $120K,Blue,39,5,34516.0,0.016
0,58,M,1,High School,Married,$60K - $80K,Blue,46,3,4188.0,0.274
1,47,M,3,High School,Married,$80K - $120K,Blue,34,3,21359.0,0.0
1,38,M,3,College,Single,$60K - $80K,Blue,34,6,12050.0,0.151
0,37,F,4,High School,Divorced,$40K - $60K,Blue,22,5,2563.0,0.639
0,59,M,1,College,Single,$40K - $60K,Blue,51,4,5042.0,0.199
1,40,M,3,Graduate,Married,$60K - $80K,Blue,27,4,15186.0,0.0
0,53,M,2,Graduate,Married,$120K +,Blue,43,6,5882.0,0.397
0,39,M,3,Uneducated,Married,$40K - $60K,Blue,34,5,12078.0,0.14
0,40,M,2,Graduate,Married,$80K - $120K,Blue,28,6,3654.0,0.321
0,48,F,3,High School,Single,$40K - $60K,Blue,30,5,2657.0,0.796
0,34,M,1,Graduate,Married,$40K - $60K,Blue,36,6,3735.0,0.344
0,55,M,2,College,Married,$80K - $120K,Blue,45,5,2929.0,0.83
0,55,M,1,High School,Married,$80K - $120K,Blue,45,3,16794.0,0.048
0,50,F,2,College,Single,Less than $40K,Blue,41,6,1438.3,0.0
0,45,F,2,Graduate,Married,Less than $40K,Blue,25,4,3518.0,0.578
0,49,M,3,Uneducated,Divorced,$80K - $120K,Blue,37,6,28390.0,0.04
1,40,M,3,Post-Graduate,Single,$80K - $120K,Blue,36,4,8958.0,0.0
0,42,F,3,Graduate,Single,$40K - $60K,Blue,34,1,1528.0,0.537
1,47,F,2,College,Married,Less than $40K,Blue,36,6,5667.0,0.444
0,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,2221.0,0.605
0,41,F,3,Graduate,Married,Less than $40K,Blue,36,4,3203.0,0.739
0,36,M,1,Uneducated,Divorced,$80K - $120K,Blue,28,4,34516.0,0.022
0,52,F,0,Post-Graduate,Single,Less than $40K,Blue,40,4,1438.3,0.554
0,48,M,3,Graduate,Married,$60K - $80K,Blue,42,6,6085.0,0.153
0,52,M,2,Graduate,Married,$80K - $120K,Silver,45,5,34516.0,0.056
0,36,F,3,High School,Single,Less than $40K,Blue,31,4,2909.0,0.717
0,41,F,2,Graduate,Single,Less than $40K,Blue,21,2,3624.0,0.453
1,55,M,2,High School,Divorced,$120K +,Blue,46,5,16828.0,0.15
0,58,M,4,Graduate,Married,$120K +,Silver,45,4,34516.0,0.0
0,39,M,3,Uneducated,Single,$80K - $120K,Blue,31,2,2844.0,0.726
0,57,M,2,High School,Single,$80K - $120K,Blue,36,6,8026.0,0.274
1,42,F,4,Graduate,Single,Less than $40K,Blue,36,6,2803.0,0.0
0,33,M,2,High School,Married,$80K - $120K,Blue,23,6,1630.0,0.0
0,38,F,2,Graduate,Married,Less than $40K,Blue,32,5,4429.0,0.0
0,47,F,5,Post-Graduate,Married,$40K - $60K,Blue,41,6,4466.0,0.174
0,46,M,0,Uneducated,Single,$60K - $80K,Silver,36,6,30501.0,0.067
0,46,M,2,Graduate,Divorced,$60K - $80K,Blue,39,3,3299.0,0.264
0,36,F,3,College,Single,Less than $40K,Blue,36,6,5383.0,0.137
1,55,F,1,High School,Married,$40K - $60K,Blue,46,2,4629.0,0.153
0,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,10400.0,0.171
1,47,M,5,High School,Married,$80K - $120K,Blue,37,2,9410.0,0.0
1,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,34516.0,0.0
1,53,M,0,High School,Single,$120K +,Silver,44,2,34516.0,0.067
0,43,F,3,Graduate,Single,$40K - $60K,Blue,33,3,2900.0,0.732
1,51,M,2,Graduate,Single,$80K - $120K,Blue,31,5,1438.3,0.227
0,43,M,3,Graduate,Single,Less than $40K,Blue,31,3,4098.0,0.433
0,44,F,3,Graduate,Married,Less than $40K,Blue,33,3,1621.0,0.0
0,60,M,1,Graduate,Married,$80K - $120K,Blue,50,6,23412.0,0.046
0,49,M,4,Uneducated,Married,$40K - $60K,Blue,33,5,3653.0,0.241
0,53,F,2,High School,Married,Less than $40K,Blue,41,5,2799.0,0.466
0,32,M,2,High School,Divorced,$60K - $80K,Blue,26,6,2239.0,0.598
